Alternate Name	Alternate TSN	Preferred Name	Preferred TSN
Platysmittia bilyji	129014	Platysmittia	129013
Platysmittia fimbriata	129015	Platysmittia	129013
Plauditus punctiventris	568609	Iswaeon	776928
Plectrocnemia	568776	Polycentropus	117044
Pleuroceridae	71541	Juga	71570
Plumiperla	103305	Chloroperlidae	103202
Plumiperla diversa	103306	Chloroperlidae	103202
Podocopida	609939	Ostracoda	84195
Polycelis coronata	54512	Polycelis	54510
Polycentropodinae	598193	Polycentropodidae	117043
Polypedilum aviceps	129666	Polypedilum	129657
Polypedilum tritum	129719	Polypedilum	129657
Pomatiopsidae	70491	Gastropoda	69459
Pomoleuctra	609870	Leuctridae	102840
Pristina aequiseta	68879	Pristina	68876
Pristina jenkinae	974770	Pristina	68876
Pristinicola	567099	Pristinicola hemphilli	568126
Probezzia	127729	Ceratopogoninae	127338
Procloeon	206622	Anafroptilum/Procloeon	-268
Procloeon venosum	568621	Anafroptilum/Procloeon	-268
Promenetus	76621	Planorbidae	76591
Promenetus umbilicatellus	76625	Planorbidae	76591
Pronoterus	112617	Noteridae	112606
Prosimuliini	126648	Simuliidae	126640
Prosimulium	126703	Helodon/Prosimulium	-272
Prosimulium impostor	126731	Helodon/Prosimulium	-272
Prostoia besametsa	102585	Prostoia	102584
Protanyderus	125802	Tanyderidae	125799
Protochauliodes spenceri	115059	Protochauliodes	115053
Protoptila erotica	115226	Protoptila	115221
Protoptilinae	598220	Glossosomatidae	117120
Protzia exima	83171	Protzia	83170
Protziidae	83164	Hydryphantidae	83212
Psephenus falli	114074	Psephenus	114070
Psephenus herricki	114072	Psephenus	114070
Pseudocloeon	100771	Labiobaetis	568552
Pseudocloeon propinquum	568681	Labiobaetis	568552
Pseudostenophylax edwardsi	115993	Pseudostenophylax	115989
Pseudosuccinea	76528	Lymnaeidae	76483
Pseudosuccinea columella	76529	Lymnaeidae	76483
Psilometriocnemus triannulatus	129084	Psilometriocnemus	129083
Psychoda	125468	Psychodini	-263
Psychodinae	125391	Psychodidae	125351
Psychomyia flavida	115341	Psychomyia	115335
Psychomyia lumina	115346	Psychomyia	115335
Pteronarcella badia	102486	Pteronarcella	102485
Pteronarcella regularis	102487	Pteronarcella	102485
Ptilostomis ocellifera	115873	Ptilostomis	115868
Pycnopsyche	116409	Limnephilidae	115933
Pyganodon	567112	Unionoidea	-277
Pyralidae	117641	Lepidoptera	117232
Pyrgulopsis	70658	Truncatelloidea	-228
Quistadrilus multisetosus	974772	Quistradrilus	68793
Radix auricularia	76526	Radix	76525
Randidrilus	974616	Enchytraeidae	68510
Reomyia	-128	Zavrelimyia	128259
Rhabdomastix (Rhabdomastix)	-260	Rhabdomastix	120968
Rhabdomastix Fascigera Group	-32	Rhabdomastix	120968
Rhabdomastix Setigera Group	-33	Rhabdomastix (Lurdia)	-261
Rhantus	112086	Colymbetinae	678403
Rhantus binotatus	112089	Colymbetinae	678403
Rhantus consimilis	112096	Colymbetinae	678403
Rheocricotopus effusus	129093	Rheocricotopus	129086
Rheocricotopus eminellobus	129096	Rheocricotopus	129086
Rheopelopia	128226	Thienemannimyia Group	-276
Rheotanytarsus exiguus	129957	Rheotanytarsus	129952
Rheotanytarsus pellucidus	129959	Rheotanytarsus	129952
Rhips	61422	Nemata	563956
Rhithrogena hageni	100583	Rhithrogena	100572
Rhithrogena robusta	100589	Rhithrogena	100572
Rhizelmis nigra	114199	Rhizelmis	114198
Rhyacodrilis	68767	Rhyacodrilus	68839
Rhyacodrilus falciformis	68840	Rhyacodrilus	68839
Rhyacophila angelita	115099	Rhyacophila Angelita Group	-35
Rhyacophila atrata	115146	Rhyacophila atrata complex	-149
Rhyacophila basalis	115100	Rhyacophila Basalis Group	-163
Rhyacophila betteni	115101	Rhyacophila Betteni Group	-37
Rhyacophila brevicephala	608219	Rhyacophila	115097
Rhyacophila brunnea	115151	Rhyacophila Brunnea/Vemna Groups	-38
Rhyacophila chilsia	115168	Rhyacophila Betteni Group	-37
Rhyacophila coloradensis	115156	Rhyacophila Coloradensis Group	-39
Rhyacophila ecosa	115104	Rhyacophila	115097
Rhyacophila Ecosa Group	-40	Rhyacophila	115097
Rhyacophila Ecosa Group	-191	Rhyacophila	115097
Rhyacophila grandis	115105	Rhyacophila Grandis Group	-41
Rhyacophila hyalinata	115159	Rhyacophila Hyalinata Group	-42
Rhyacophila inculta	115175	Rhyacophila Brunnea/Vemna Groups	-38
Rhyacophila iranda	115177	Rhyacophila Vofixa Group	-52
Rhyacophila lieftincki	608414	Rhyacophila arnaudi	115165
Rhyacophila neograndis	115110	Rhyacophila Grandis Group	-41
Rhyacophila oreta	115113	Rhyacophila Oreta Group	-44
Rhyacophila pellisa	115114	Rhyacophila atrata complex	-149
Rhyacophila pellisa/valuma	-45	Rhyacophila atrata complex	-149
Rhyacophila perda	115184	Rhyacophila Betteni Group	-37
Rhyacophila rickeri	115186	Rhyacophila Verrula Group	-50
Rhyacophila rotunda	115117	Rhyacophila Rotunda Group	-46
Rhyacophila sibirica	568811	Rhyacophila Sibirica Group	-47
Rhyacophila tucula	115189	Rhyacophila Alberta Group	-34
Rhyacophila vaccua	115120	Rhyacophila Betteni Group	-37
Rhyacophila vaefes	115191	Rhyacophila Nevadensis Group	-43
Rhyacophila vagrita	115152	Rhyacophila Vagrita Group	-48
Rhyacophila valuma	115121	Rhyacophila atrata complex	-149
Rhyacophila vedra	115122	Rhyacophila Betteni Group	-37
Rhyacophila Vemna Group	-49	Rhyacophila Brunnea/Vemna Groups	-38
Rhyacophila verrula	115125	Rhyacophila Verrula Group	-50
Rhyacophila vetina	115194	Rhyacophila vetina complex	-157
Rhyacophila viquaea	115215	Rhyacophila Viquaea Group	-51
Rhyacophila vofixa	115197	Rhyacophila Vofixa Group	-52
Rhyacophila vuzana	115154	Rhyacophila Angelita Group	-35
Rhyacophilidae	115096	Rhyacophila	115097
Rickera	103189	Kogotus/Rickera	-20
Rickera sorpta	103190	Kogotus/Rickera	-20
Rissooidea	-181	Truncatelloidea	-228
Robackia demeijerei	129733	Robackia	129730
Sarcoptiformes	83538	Acari	733321
Scirtes	113929	Scirtidae	113924
Sepedon	144898	Sciomyzidae	144653
Sericostomatidae	116982	Gumaga	117003
Sericostriata	598589	Sericostriata surdickae	605894
Serratella	101395	Ephemerellidae	101232
Serratella teresa	568641	Matriella teresa	776979
Serratella tibialis	101399	Ephemerella tibialis	101401
Serromyia	127614	Ceratopogoninae	127338
Setvena bradleyi	103194	Setvena	103193
Sialidae	115001	Sialis	115002
Sialis californica	115004	Sialis	115002
Sialis occidens	115006	Sialis	115002
Sialis rotunda	115007	Sialis	115002
Sierraperla cora	102515	Sierraperla	102514
Silvius	131062	Tabanidae	130934
Simuliini	126773	Simuliidae	126640
Simulium (Eusimulium)	-150	Simulium	126774
Simulium (Nevermannia)	-151	Simulium	126774
Simulium arcticum	126779	Simulium	126774
Simulium arcticum complex	-164	Simulium	126774
Simulium argus	126782	Simulium	126774
Simulium canadense	126795	Simulium	126774
Simulium carbunculum	-165	Simulium	126774
Simulium defoliarti	126812	Simulium	126774
Simulium Malyschevi Group	-166	Simulium	126774
Simulium piperi	126862	Simulium	126774
Simulium pugetense	126867	Simulium	126774
Simulium saxosum	-152	Simulium	126774
Simulium tuberosum complex	-153	Simulium	126774
Simulium venustum	126892	Simulium	126774
Simulium Venustum Group	-53	Simulium	126774
Simulium virgatum	126901	Simulium	126774
Simulium vittatum complex	-167	Simulium	126774
Simyra	117482	Lepidoptera	117232
Sisyra	115090	Sisyridae	115085
Skwala americana	568735	Skwala	103102
Skwala curvata	103105	Skwala	103102
Slavina appendiculata	68856	Slavina	68855
Somatochlora	101947	Corduliidae	102020
Sperchopsis	112931	Hydrophilidae	112811
Sphaeromias	127761	Ceratopogoninae	127338
Spirosperma nikolskyi	68781	Spirosperma	68780
Stagnicola	76534	Lymnaeidae	76483
Stenonema	100507	Maccaffertium	697957
Stictotarsus	568826	Hydroporinae	678402
Stictotarsus griseostriatus	728483	Hydroporinae	678402
Stictotarsus striatellus	568829	Hydroporinae	678402
Stilobezzia	127619	Ceratopogoninae	127338
Stratiomys	130627	Stratiomyidae	130150
Stylaria lacustris	68872	Stylaria	68871
Stylodrilus heringianus	68452	Stylodrilus	68450
Stylurus	101666	Stylurus olivaceus	593023
Sublettea coffmani	129976	Sublettea	129975
Suwallia	103254	Neaviperla/Suwallia	-273
Suwallia autumna	103257	Neaviperla/Suwallia	-273
Suwallia forcipata	609888	Neaviperla/Suwallia	-273
Suwalliini	-222	Neaviperla/Suwallia	-273
Sweltsa adamantea	568724	Sweltsa	103273
Sympetrum	101976	Libellulidae	101797
Symplecta	-235	Limoniidae	-233
Tabanus	131527	Tabanidae	130934
Taenionema	102519	Taeniopterygidae	102788
Taenionema californicum	102820	Taeniopterygidae	102788
Taenionema pallidum	102827	Taeniopterygidae	102788
Taeniopteryx nivalis	102798	Taeniopteryx	102789
Talitridae	95032	Hyalella	94025
Telopelopia	128233	Thienemannimyia Group	-276
Thaumalea	126629	Thaumaleidae	126624
Thermonectus	112109	Dytiscidae	111963
Theromyzon	69375	Glossiphoniidae	69357
Thienemannia gracilis	129181	Thienemannia	129179
Thienemannimyia	128236	Thienemannimyia Group	-276
Thienemannimyia complex	-54	Thienemannimyia Group	-276
Thienemannimyia senata	128245	Thienemannimyia Group	-276
Thienemanniola	568514	Chironomidae	127917
Timpanoga	101317	Timpanoga hecuba	101318
Timpanoga hecuba hecuba	101320	Timpanoga hecuba	101318
Tipula arnaudi	119078	Tipula	119037
Tipula dis	119188	Tipula	119037
Tipulidae sp. MAA#01	-218	Tipulidae	118840
Tipulidae sp. MAA#02	-219	Tipulidae	118840
Tipuloidea	-231	Nematocera	118832
Todothyas	-240	Parathyas	-275
Tramea	101818	Libellulidae	101797
Traverella albertana	101097	Traverella	101096
Tribelos jucundus	129827	Tribelos	129820
Trichoptera sp. AJF#01	-220	Trichoptera	115095
Trichoptera sp. AJF#02	-221	Trichoptera	115095
Tricladida	54468	Trepaxonemata	914204
Tricorythodes explicatus	101419	Tricorythodes	101405
Tricorythodes minutus	101413	Tricorythodes	101405
Tricyphona	-250	Pediciidae	-232
Triznaka	103308	Chloroperlidae	103202
Tubificidae	68585	Tubificinae	-138
Tubificina	68509	Tubificinae	-138
Tubularia	48914	Trepaxonemata	914204
Turbellaria	53964	Trepaxonemata	914204
Tvetenia bavarica	129205	Tvetenia Bavarica Group	-55
Tvetenia paucunca	129201	Tvetenia	129197
Tvetenia tshernovskii	-160	Tvetenia Discoloripes Group	-56
Tvetenia vitracies	129203	Tvetenia Discoloripes Group	-56
Tvetenia Vitracies Group	-57	Tvetenia Discoloripes Group	-56
Uenoinae	568761	Uenoidae	568757
Uncinais uncinata	68990	Uncinais	68989
Unionidae	79913	Unionoidea	-277
Unionoida	79912	Unionoidea	-277
Utacapnia	102752	Capniidae	102643
Utaperla	103297	Paraperlinae	609856
Uvarus	112575	Hydroporinae	678402
Uvarus subtilis	193571	Hydroporinae	678402
Valvata humeralis	70358	Valvata	70346
Valvatidae	70345	Valvata	70346
Visoka	102614	Visoka cataractae	102615
Vorticifex effusa	568466	Vorticifex	76673
Wormaldia anilla	115259	Wormaldia	115258
Wormaldia gabriella	115261	Wormaldia	115258
Xenochironomus	129837	Xenochironomus xenolabis	129838
Xylotopus par	129209	Xylotopus	129208
Ylodes	598372	Triaenodes	116565
Yoraperla brevis	102512	Yoraperla	102510
Yoraperla nigrisoma	568730	Yoraperla	102510
Yoraperla siletz	568731	Yoraperla	102510
Yphria californica	115923	Yphria	115922
Zaitzevia milleri	114207	Zaitzevia	114205
Zaitzevia parvula	-154	Zaitzevia	114205
Zaitzevia parvulus	114206	Zaitzevia	114205
Zaitzevia posthonia	-155	Zaitzevia	114205
Zapada chila	102599	Zapada Oregonensis Group	-58
Zapada oregonensis	102597	Zapada Oregonensis Group	-58
Zoniagrion	102100	Coenagrionidae	102077
